"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"05/06/1926","01:20:15.00","-17","-78.5","","","6.8",""
"01/07/1926","20:29:30.00","-5","-81.5","","","6.8",""
"14/07/1926","01:38:40.00","-2.5","-71","","","6.8",""
"13/03/1927","05:32:26.00","-6","-81.5","","","6",""
"06/04/1927","18:54:05.00","-10","-70","600","","6",""
"09/04/1928","17:34:15.00","-13","-69.5","30","","6.9",""
"27/04/1928","20:34:58.00","-13","-69.5","259","","6.8",""
"14/05/1928","22:14:46.00","-5.194","-78.335","30","6.2","7.3",""
"18/07/1928","19:05:00.00","-5.454","-77.873","70","5.4","7",""
"21/09/1928","13:27:05.00","-15","-70.5","250","","6.8",""
"25/05/1929","11:59:38.00","-8.5","-75.5","150","","6.8",""
"04/08/1930","05:04:31.00","-9.5","-70.5","650","","6.5",""
"24/11/1930","06:06:48.00","-3.44","-77.51","135","","6.3",""
"03/04/1931","01:56:11.00","-9.25","-79","","","6.3",""
"15/06/1931","11:19:55.00","-14.5","-75.5","","","6",""
"18/06/1931","14:35:00.00","-14.139","-71.36","15","4","",""
"11/07/1931","05:56:13.00","-8.5","-74.5","120","","6.3",""
"20/01/1932","02:30:50.00","-11.881","-77.734","40","","6.7",""
"25/06/1932","02:31:41.00","-6.5","-81.5","","6.4","-",""
"05/09/1932","06:23:50.00","-6","-81","50","","6",""
"09/12/1932","08:34:55.00","-15.379","-74.348","90","","6.5",""
"23/07/1933","04:13:11.00","-15.75","-75.25","80","","6",""
"31/07/1933","15:23:07.00","-15.5","-75.5","80","","6",""
"06/08/1933","02:54:52.00","-13.151","-76.526","60","","6.5",""
"20/08/1933","22:59:16.00","-13","-80","","","5.6",""
"22/08/1933","09:49:58.00","-13","-80","","","5.6",""
"29/08/1933","14:52:36.00","-10.9","-69.5","65","","6.5",""
"01/10/1933","02:40:42.00","-7","-75.25","120","","6.3",""
"02/10/1933","15:29:21.00","-2","-81","","","6.9",""
"03/10/1933","10:21:00.00","-1.75","-80.75","","","6.3",""
"03/10/1933","14:21:49.00","-1.75","-80.75","","","6",""
"29/12/1933","08:17:01.00","-5","-81.5","","5.2","",""
"29/10/1934","23:25:23.00","-5","-78","110","","6.3",""
"04/12/1934","17:24:38.00","-19.5","-69.5","11","","6.9",""
"05/03/1935","22:35:00.00","-9.82","-77.43","25","4.6","",""
"09/03/1935","02:54:37.00","-12","-78","150","","5.8",""
"26/03/1935","19:54:47.00","-15.5","-73","120","","6",""
"19/09/1935","09:55:47.00","-15.5","-70","250","","6.5",""
"06/05/1936","03:38:55.00","-8","-75","160","","6",""
"04/07/1936","08:52:35.00","-18","-70","140","","6",""
"16/09/1936","17:44:13.00","-16","-72.5","130","5.5","5.8",""
"28/03/1937","12:21:42.00","-13.5","-75","120","5.4","5.5",""
"29/03/1937","07:49:47.00","-15.5","-71","120","","6.8",""
"08/04/1937","00:00:00.00","-7.729","-77.981","20","4.4","",""
"17/04/1937","00:00:00.00","-7.73","-77.98","10","3.9","",""
"21/06/1937","15:13:04.00","-8.268","-79.233","60","5.8","6.8",""
"22/06/1937","05:34:03.00","-9","-79","150","5.5","5.8",""
"24/06/1937","14:57:18.00","-7.8","-80.3","","5.4","",""
"09/07/1937","17:27:40.00","-16","-72","180","5.6","6",""
"02/10/1937","16:22:24.00","-14.7","-69.9","","4.7","",""
"15/10/1937","03:41:15.00","-13.5","-77","90","5.3","5.3",""
"03/11/1937","00:00:00.00","-15.5","-68.5","20","","4.5",""
"07/11/1937","09:08:43.00","-10","-73.5","120","5.4","5.5",""
"24/12/1937","06:20:40.00","-10.55","-75.63","25","5.7","6.2",""
"16/01/1938","21:41:47.00","-6","-75","100","5.6","6",""
"09/09/1938","17:27:12.00","-7.2","-80.3","","5.8","",""
"25/04/1939","12:53:37.00","-12.87","-76.42","80","5.7","6.3",""
"24/06/1939","04:22:24.00","-14.148","-71.635","20","","6.3",""
"13/09/1939","18:03:30.00","-18.5","-70.5","130","5.5","5.8",""
"20/09/1939","06:53:12.00","-11.5","-75.5","60","5.6","6",""
"18/11/1939","07:42:15.00","-15","-75.5","","5.5","5.6",""
"26/11/1939","06:26:18.00","-8.5","-77.5","130","5.4","5.5",""
"13/12/1939","18:45:24.00","-17","-74","100","5.4","5.5",""
"30/01/1940","11:56:55.00","-11.5","-77","50","5.4","5.6",""
"04/05/1940","16:44:30.00","-6.5","-81","","5.4","5.6",""
"05/05/1940","02:03:42.00","-7","-80","","5.6","6",""
"24/05/1940","16:33:57.00","-11.22","-77.79","50","6.6","8","7.9"
"04/08/1940","16:07:05.00","-14","-74","120","5.4","5.5",""
"26/08/1940","02:27:59.00","-11.5","-75","110","5.6","6",""
"05/10/1940","04:46:36.00","-17.8","-70.4","","4.7","",""
"06/10/1940","15:35:42.00","-17.8","-70.4","200","4.7","",""
"12/10/1940","02:58:54.00","-17.8","-70.4","200","4","",""
"15/10/1940","07:54:18.00","-17.8","-70.4","200","4.9","",""
"23/10/1940","02:23:15.00","-2","-76","140","5.6","6",""
"24/01/1941","05:44:03.00","-3.25","-76.75","120","5.8","6.5",""
"11/05/1941","05:08:00.00","-14.486","-74.48","110","","6.2",""
"18/09/1941","13:14:09.00","-13.67","-71.96","100","7","7",""
"15/10/1941","00:07:06.00","-16","-73.5","100","5.6","",""
"15/10/1941","09:35:15.00","-15.5","-74","110","","6",""
"08/01/1942","15:12:31.00","-6","-78.5","110","5.6","6",""
"12/06/1942","10:21:30.00","-2","-76.9","","","6.2",""
"24/08/1942","22:50:27.00","-15.549","-74.742","70","6.7","8.1","8.2"
"06/11/1942","13:31:10.00","-6","-77","130","5.9","6.8",""
"06/01/1943","09:51:03.00","-5","-80.7","","5.7","",""
"31/01/1943","05:00:00.00","-14.2","-71.5","25","","5",""
"16/02/1943","07:28:35.00","-15","-72","190","6","7",""
"05/04/1943","03:08:58.00","-6.5","-76","140","5.8","6.5",""
"05/07/1943","21:07:54.00","-16","-74","","5.9","6.8",""
"06/07/1943","09:40:00.00","-17","-70","160","5.5","5.8",""
"01/02/1944","00:00:00.00","-13.57","-71.96","30","3.7","",""
"29/02/1944","03:41:53.00","-14.5","-70.5","200","5.4","7",""
"08/06/1944","02:38:04.00","-10","-71","600","5.7","6.3",""
"06/02/1945","23:27:49.00","-5","-80.8","","4.5","",""
"08/02/1945","09:40:00.00","-16.5","-71.7","15","3.8","",""
"09/02/1945","02:25:00.00","-17.7","-70","30","3.9","",""
"09/02/1945","16:10:00.00","-10.8","-78.3","60","4.2","",""
"10/02/1945","20:30:00.00","-10.8","-78.3","60","4.7","",""
"17/02/1945","13:45:00.00","-10.8","-78.3","60","4.7","",""
"17/02/1945","18:35:00.00","-10.8","-78.3","60","4.2","",""
"27/02/1945","03:37:00.00","-13","-76.8","40","4.5","",""
"06/03/1945","17:10:00.00","-12.7","-77.8","40","4.5","",""
"14/03/1945","02:00:00.00","-11.66","-76.32","30","3","",""
"14/03/1945","05:45:00.00","-11.5","-78.1","30","4.8","",""
"15/03/1945","21:20:00.00","-4.4","-81.6","30","4.5","",""
"16/03/1945","08:35:00.00","-13.5","-75.26","25","3.4","",""
"17/03/1945","14:15:00.00","-13.5","-75.26","25","3.4","",""
"18/03/1945","13:45:00.00","-15.6","-74.8","60","4.3","",""
"21/03/1945","23:45:00.00","-12","-77.8","40","4.8","",""
"27/03/1945","01:45:00.00","-15.2","-73.1","25","4","",""
"28/03/1945","02:15:00.00","-16.5","-71.9","25","3.6","",""
"29/03/1945","00:50:00.00","-5","-79.43","30","3.1","",""
"29/03/1945","15:30:00.00","-15.9","-73.2","20","3.9","",""
"30/03/1945","03:00:00.00","-16.5","-72","25","3.5","",""
"04/04/1945","10:10:00.00","-9.6","-75.9","30","3.9","",""
"06/04/1945","09:00:00.00","-5.85","-77","30","3.9","",""
"07/04/1945","17:56:00.00","-4.4","-81.6","30","4.3","",""
"11/04/1945","09:54:00.00","-13.5","-75.26","30","3.5","",""
"14/04/1945","06:47:00.00","-17","-71.6","25","4.2","",""
"15/04/1945","12:13:00.00","-7.7","-79.6","50","4.5","",""
"30/04/1945","03:50:00.00","-16.6","-71.8","30","3.4","",""
"02/05/1945","05:55:00.00","-18.2","-69.95","30","3.8","",""
"02/05/1945","05:58:00.00","-4.6","-81.6","30","4.9","",""
"02/05/1945","09:30:00.00","-5.2","-81.4","30","4.6","",""
"02/05/1945","09:45:00.00","-10.6","-75.7","25","4.2","",""
"06/05/1945","10:00:00.00","-12","-77.8","40","4.8","",""
"07/05/1945","09:30:00.00","-5.3","-80.55","80","4.7","",""
"11/05/1945","05:00:00.00","-13.5","-75.26","30","3","",""
"14/05/1945","02:30:00.00","-12","-77.8","40","4.3","",""
"16/05/1945","13:45:00.00","-4.4","-81.6","30","4.4","",""
"24/05/1945","15:30:00.00","-13.5","-75.26","25","3.4","",""
"30/05/1945","20:00:00.00","-12","-77.8","40","4.3","",""
"31/05/1945","09:55:00.00","-15.06","-74.68","20","3.4","",""
"01/06/1945","08:50:00.00","-8.2","-79.2","50","3.8","",""
"04/06/1945","10:20:00.00","-15.5","-73","110","5","",""
"10/06/1945","02:22:00.00","-13.6","-76.6","50","4.3","",""
"14/06/1945","19:05:40.00","-5","-80.8","","4.5","",""
"15/06/1945","11:46:00.00","-11.6","-77.5","60","4","",""
"15/06/1945","15:46:00.00","-11.6","-77.5","60","4","",""
