magnitud_Mw
5.1
4.5
4.5
4.9
4.5
4.5
4.8
4.5
4.6
5.25
4.8
4.9
4.5
4.52
4.8
4.8
4.6
4.5
4.61
4.5
4.5
4.52
4.6
4.6
5.2
4.9
4.5
5.0
5.25
4.6
4.9
4.61
4.97
4.7
4.5
4.5
4.8
4.5
3.9
4.5
5.4
4.6
4.7
4.5
4.6
4.5
4.9
4.7
4.6
4.6
4.6
5.0
4.6
4.9
4.5
4.9
4.5
4.6
4.6
4.5
4.5
5.1
4.5
5.0
4.5
4.0
4.5
5.0
5.0
4.9
4.5
4.9
4.6
5.1
5.0
5.0
4.5
5.4
4.6
4.7
4.6
4.9
4.8
4.6
4.5
4.9
4.9
4.7
4.9
4.6
4.5
4.7
4.6
5.1
4.6
4.6
4.7
4.9
4.6
4.5
4.5
5.2
4.8
4.6
4.5
4.5
4.9
5.3
4.9
4.5
4.7
4.5
5.0
4.5
4.6
4.5
4.5
5.2
4.8
4.6
4.5
4.6
4.5
4.6
4.5
4.5
4.6
4.5
4.6
4.6
4.9
4.5
4.5
4.6
4.5
4.6
4.7
4.5
5.3
4.8
4.8
4.8
4.7
5.2
5.1
5.0
4.5
4.8
4.6
4.7
3.9
4.8
4.5
4.5
5.2
4.5
4.5
4.5
5.3
5.2
4.5
4.5
4.7
4.5
4.9
4.5
4.6
5.1
4.9
4.8
4.6
4.6
4.9
4.6
4.6
5.1
4.5
5.0
4.0
4.5
5.0
4.8
4.5
4.5
4.8
5.0
4.5
5.2
4.1
4.5
4.6
5.2
4.9
4.9
4.5
4.6
4.61
4.79
4.61
4.5
4.5
4.9
4.9
4.6
4.5
4.6
5.0
4.5
4.5
4.5
4.5
5.3
4.7
4.5
4.5
4.5
4.5
4.6
4.5
4.97
4.9
4.8
4.9
4.8
5.1
4.6
4.7
4.5
4.6
4.5
4.6
5.3
5.0
4.88
4.8
4.9
4.5
4.5
4.61
5.3
4.7
4.7
4.5
4.5
5.4
5.1
4.5
4.6
4.9
4.9
4.5
4.3
5.79
4.9
4.4
5.0
4.7
4.7
4.5
5.3
4.5
4.6
4.9
4.6
4.9
4.6
4.5
4.7
4.6
4.5
4.5
4.6
4.5
4.6
4.8
4.0
4.0
4.5
4.7
4.8
5.5
5.2
4.8
4.5
5.0
4.5
5.0
4.6
4.5
4.5
4.6
4.97
4.0
4.9
4.7
5.0
5.1
4.7
4.34
4.6
4.5
4.6
4.5
4.0
4.6
5.1
4.5
4.0
4.6
4.5
4.8
5.0
4.7
4.5
4.8
4.5
4.7
4.6
5.0
4.0
4.6
4.9
4.5
4.9
5.0
4.5
4.6
4.7
4.7
4.5
4.9
4.7
4.3
4.5
4.7
4.5
4.5
4.5
4.5
5.0
4.5
4.5
4.7
5.06
4.8
4.6
4.8
4.9
4.7
4.6
4.6
4.5
4.9
4.7
4.5
4.6
4.7
4.6
4.7
4.9
4.5
4.6
4.8
4.5
4.6
5.06
5.4
4.7
4.6
4.6
4.5
